domain_name,company_name,no_of_employees
datarobot.com,DataRobot,
belkin.com,Belkin International,
studiot-sq.com,,
velo3d.com,Velo3D,51-100
genmarkdx.com,GenMark Diagnostic,
lamb-star.com,Lamb-Star Engineering,101-250
chromacode.com,chromacode.com,
mailgun.com,"Mailgun Technologies, Inc.",
yipitdata.com,YipitData,310
rubrik.com,Rubrik,
restaurantcheetah.com,,
suntecktts.com,SunteckTTS,
particle.io,Particle,
es3inc.com,es3inc.com,
goamify.com,Amify,
workspaceinteriorsod.com,,
pistudios.com,Pure Imagination Studios,
payzer.com,Payzer,11-50
extraslice.com,,
freightwaves.com,FreightWaves,101-250
tryfleet.com,,
kaleido.ai,Kaleido,
yprime.com,YPrime,
bouldercounty.gov,BoulderCounty,
galadrim.fr,Galadrim,44
rev.com,Rev.com,4000
broadvoice.com,Broadvoice,
happymoney.com,Happy Money,
wyzecam.com,,
google.com,Google,256000
directsupply.com,Direct Supply,
goodland.tech,Goodland Tech,
lytics.com,Lytics,51-100
logdna.com,LogDNA,121
iclasspro.com,,
casefd.com,,
pprtmg.com,,
align-pr.com,Align-Pr,
wagwalking.com,,
hafequipment.com,HAF Equipment,
whitewaterwest.com,WhiteWater,
icesd.com,,
kalidy.com,Kalidy Homes,
ciphermining.com,,
habit.com,,
stukent.com,Stukent,
unitedsolutions.biz,United Solutions Group,11-50
peoplespace.com,People Space,130
endurance.com,Endurance Intl Group Holdings,1000-5000
iseatz.com,iSeatz,51-100
kustomer.com,Kustomer,
ceterus.com,,
ezcater.com,ezCater,
carpe.io,Carpe Data,150
meds.com,Meds,
milkwoodmade.com,,
newfrontinsurance.com,,
docker.com,Docker,101-250
cpicardgroup.com,CPI Card Group,600
rivdata.com,,
nutrafol.com,,
reviewwave.com,Review Wave,
northpointoutdoors.com,North Point Outdoors,
avgfunds.com,,
cpja.com,CPJ Associates,
islengineering.com,ISL Engineering,
moii.com,,
myutilities.com,My Utilities,
titlevest.com,,
gblsys.com,,
sureco.com,,
lendio.com,,
velectric.com,Valley Electric Company,251-500
globusmedical.com,Globus Medical,
respawn.com,Respawn Entertainment,
zymoresearch.com,Zymo Research Corp,146
cainwatters.com,Cain Watters & Associates,
nianticlabs.com,Niantic,
skupos.com,Skupos,
traveltab.com,,
da2nd.state.nm.us,,
evs-eng.com,"EVS, Inc.",
meowwolf.com,Meow Wolf,400
baps.org,,
human.capital,Human Capital,
decorist.com,,
stitchindustries.com,,
osbornconsulting.com,Osborn Consulting,
gene.com,Genentech,21000
realatlas.com,Atlas Real Estate,120
dalton.org,The Dalton School,415
agiletransformation.com,Agile Transformation,11-50
brightonsa.org,Brighton Center,
mayvenn.com,Mayvenn,
getordermark.com,Ordermark,
naturalfiberwelding.com,Natural Fiber Welding,130
f45training.com,,
stamperoilandgas.com,,
fieldagent.net,Fieldagent,
sheriff-okaloosa.org,OkaloosaSheriff,
bitwiseindustries.com,Bitwise Industries,
outfitters4.com,Outfitters4,
dreamscapemail.com,,
beatport.com,Beatport,
fcti.net,"FCTI, Inc: Financial Consulting & Trading International, Inc.",
orion180.com,Orion180Insurance,
eclipsegamingsystems.com,Eclipse Gaming Systems,11-50
etp.net,Etp,
tile.com,Tile,
3-gis.com,3-GIS,
mdttac.com,Modular Driven Technologies,
crunchtime.com,CrunchTime! Information Systems,
calm.com,Calm,
phyn.com,,
inboardtechnology.com,,
robustintelligence.com,Robust Intelligence,
charlestondigitalcorridor.com,,
fabfitfun.com,FabFitFun,
fresno.edu,,
poka.io,Poka,
sight-sound.com,Sight and Sound Theatres,
intakedesk.com,,
b2interactive.com,B² Interactive,
montagehotels.com,,
dixie.edu,Dixie State University,
meter.com,Meter,
kixie.com,Kixie,
telixpharma.com,Telix Pharmaceuticals,11-50
cognetik.com,,
nimble.ai,nimble.ai,
matician.com,Matician,
b2equity.com,,
4degrees.com,,
iluvatar.ai,,
madglory.com,,
i5invest.com,i5invest,
clearcover.com,Clearcover,
usertesting.com,UserTesting,
redislabs.com,,
burdhomehealth.com,burdhomehealth.com,
dremio.com,Dremio,51-100
tengundesign.com,Tengundesign,
allstatesecurity.com,Allstate Security Industries,
deepcrawl.com,,
email.arizona.edu,University of Arizona,17000
velentium.com,Velentium,99
craftyapes.com,Crafty Apes,11-50
papaandbarkley.com,Papaandbarkley,
impactllc.biz,impactllc.biz,
sheaumann.com,,
empireoffice.com,Empire Office,
tacklewarehouse.com,Tackle Warehouse,39
merakiinteriordesigns.com,Meraki Designs,
